last_update,18.08.2026 18:36
id,model,price,category
93,17 pro 256 orange esim,3 510,iphone
94,17 pro 256 blue esim,3 630,iphone
95,17 Pro 256 Silver eSim,3 650,iphone
96,17 pro 256 orange sim+esim,3 710,iphone
97,17 pro 256 blue sim+esim,3 740,iphone
98,17 pro 256 silver sim+esim,3 780,iphone
99,17 pro 512 orange esim,4 130,iphone
100,17 pro 512 blue esim,4 190,iphone
101,17 pro 512 silver esim,4 190,iphone
102,17 pro 512 orange sim+esim,4 380,iphone
103,17 pro 512 blue sim+esim,4 440,iphone
104,17 pro 512 silver sim+esim,4 480,iphone
105,17 pro 1TB orange esim,4 700,iphone
106,17 pro 1TB blue esim,4 730,iphone
107,17 pro 1TB silver eSIM,4 880,iphone
108,17 pro 1TB orange sim+sim,4 970,iphone
109,17 pro 1TB blue sim+esim,5 140,iphone
110,17 pro 1TB silver sim+sim,5 250,iphone
111,17 Pro Max 256 orange esim,3 800,iphone
112,17 Pro Max 256 blue esim,3 800,iphone
113,17 Pro Max 256 silver esim,3 870,iphone
114,17 Pro Max 256 orange sim+Esim,4 090,iphone
115,17 Pro Max 256 blue sim+Esim,4 090,iphone
116,17 Pro Max 256 silver sim+Esim,4 130,iphone
117,17 Pro Max 512 orange esim,4 470,iphone
118,17 Pro Max 512 silver esim,4 450,iphone
119,17 Pro Max 512 blue esim,4 440,iphone
120,17 Pro Max 512 orange sim+Esim,4 830,iphone
121,17 Pro Max 512 blue sim+Esim,4 790,iphone
122,17 Pro Max 512 silver sim+Esim,4 830,iphone
123,17 pro max 1TB orange esim,5 120,iphone
124,17 pro max 1TB blue esim,5 120,iphone
125,17 pro max 1TB silver esim,5 190,iphone
126,17 pro max 1TB orange sim+Esim,5 490,iphone
127,17 pro max 1TB blue sim+Esim,5 490,iphone
128,17 pro max 1TB silver sim+Esim,5 580,iphone
129,Air 256 Black eSim,2 730,iphone
130,Air 256 White eSim,2 790,iphone
131,Air 256 Gold eSim,2 720,iphone
132,Air 256 Blue eSim,2 700,iphone
133,Air 512 black,3 170,iphone
134,Air 512 gold,2 990,iphone
135,Air 512 blue,2 990,iphone
136,Air 512 white,3 170,iphone
